name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL,others
"caller-callsite@2.0.0","MIT",-,-,-,Javascript,-,-,-,
"caller-path@2.0.0","MIT",-,-,-,Javascript,-,-,-,
"callsite@1.0.0","MIT*",-,-,-,Javascript,-,-,-,
"callsites@2.0.0","MIT",-,-,-,Javascript,-,-,-,
"camel-case@4.1.1","MIT",-,-,-,Javascript,-,-,-,
"camelcase@5.3.1","MIT",-,-,-,Javascript,-,-,-,
"caniuse-lite@1.0.30001024","CC-BY-4.0",-,-,-,Javascript,-,-,-,
"caniuse-lite@1.0.30001035","CC-BY-4.0",-,-,-,Javascript,-,-,-,
"caniuse-lite@1.0.30001036","CC-BY-4.0",-,-,-,Javascript,-,-,-,
"canonical-path@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"caseless@0.12.0","Apache-2.0",-,-,-,Javascript,-,-,-,
"chalk@1.1.3","MIT",-,-,-,Javascript,-,-,-,
"chalk@2.4.2","MIT",-,-,-,Javascript,-,-,-,
"chalk@3.0.0","MIT",-,-,-,Javascript,-,-,-,
"chardet@0.7.0","MIT",-,-,-,Javascript,-,-,-,
"chokidar@2.1.8","MIT",-,-,-,Javascript,-,-,-,
"chokidar@3.3.1","MIT",-,-,-,Javascript,-,-,-,
"chokidar@3.4.0","MIT",-,-,-,Javascript,-,-,-,
"chownr@1.1.4","ISC",-,-,-,Javascript,-,-,-,
"chrome-trace-event@1.0.2","MIT",-,-,-,Javascript,-,-,-,
"cipher-base@1.0.4","MIT",-,-,-,Javascript,-,-,-,
"circular-dependency-plugin@5.2.0","ISC",-,-,-,Javascript,-,-,-,
"class-utils@0.3.6","MIT",-,-,-,Javascript,-,-,-,
"clean-css@4.2.1","MIT",-,-,-,Javascript,-,-,-,
"clean-css@4.2.3","MIT",-,-,-,Javascript,-,-,-,
"cli-cursor@2.1.0","MIT",-,-,-,Javascript,-,-,-,
"cli-cursor@3.1.0","MIT",-,-,-,Javascript,-,-,-,
"cli-spinners@2.3.0","MIT",-,-,-,Javascript,-,-,-,
"cli-width@2.2.0","ISC",-,-,-,Javascript,-,-,-,
"cliui@4.1.0","ISC",-,-,-,Javascript,-,-,-,
"cliui@5.0.0","ISC",-,-,-,Javascript,-,-,-,
"clone-deep@4.0.1","MIT",-,-,-,Javascript,-,-,-,
"clone@1.0.4","MIT",-,-,-,Javascript,-,-,-,
"clone@2.1.2","MIT",-,-,-,Javascript,-,-,-,
"code-point-at@1.1.0","MIT",-,-,-,Javascript,-,-,-,
